Postal Code;City;Administrative Region;Population;Area km²
10115;Berlin;Berlin;16,678;2.421
10117;Berlin;Berlin;24,223;3.321
10119;Berlin;Berlin;7,408;0.857
10178;Berlin;Berlin;14,069;1.872
10179;Berlin;Berlin;15,897;2.183
10243;Berlin;Berlin;20,440;2.847
10245;Berlin;Berlin;20,715;3.065
10247;Berlin;Berlin;15,081;2.035
10249;Berlin;Berlin;11,634;1.918
10315;Berlin;Berlin;15,139;2.455
10317;Berlin;Berlin;26,965;3.785
10318;Berlin;Berlin;37,502;6.9
10319;Berlin;Berlin;18,604;3.791
10365;Berlin;Berlin;43,308;6.6
10367;Berlin;Berlin;9,211;1.419
10369;Berlin;Berlin;11,930;1.777
10405;Berlin;Berlin;11,933;1.722
10407;Berlin;Berlin;17,530;2.83
10409;Berlin;Berlin;9,654;1.35
10435;Berlin;Berlin;7,038;0.885
10437;Berlin;Berlin;11,374;1.554
10439;Berlin;Berlin;12,999;1.695
10551;Berlin;Berlin;7,079;0.929
10553;Berlin;Berlin;10,194;1.393
10555;Berlin;Berlin;6,594;0.943
10557;Berlin;Berlin;26,623;4.034
10559;Berlin;Berlin;8,158;1.061
10585;Berlin;Berlin;7,003;0.923
10587;Berlin;Berlin;11,693;1.756
10589;Berlin;Berlin;12,667;1.85
10623;Berlin;Berlin;7,424;0.977
10625;Berlin;Berlin;3,308;0.61
10627;Berlin;Berlin;4,448;0.585
10629;Berlin;Berlin;6,860;0.785
10707;Berlin;Berlin;6,111;0.746
10709;Berlin;Berlin;8,663;1.087
10711;Berlin;Berlin;4,973;0.756
10713;Berlin;Berlin;7,900;1.191
10715;Berlin;Berlin;7,512;1.182
10717;Berlin;Berlin;7,197;0.919
10719;Berlin;Berlin;4,300;0.688
10777;Berlin;Berlin;6,167;0.689
10779;Berlin;Berlin;4,323;0.571
10781;Berlin;Berlin;4,999;0.763
10783;Berlin;Berlin;5,694;0.707
10785;Berlin;Berlin;13,860;2.786
10787;Berlin;Berlin;5,798;1.51
10789;Berlin;Berlin;3,751;0.444
10823;Berlin;Berlin;5,153;0.708
10825;Berlin;Berlin;4,332;0.668
10827;Berlin;Berlin;4,234;0.516
10829;Berlin;Berlin;13,994;2.102
10961;Berlin;Berlin;7,774;1.109
10963;Berlin;Berlin;19,507;2.771
10965;Berlin;Berlin;8,703;1.894
10967;Berlin;Berlin;6,915;0.95
10969;Berlin;Berlin;15,119;2.072
10997;Berlin;Berlin;10,694;1.62
10999;Berlin;Berlin;10,670;1.401
11011;Berlin;Berlin;—;—
12043;Berlin;Berlin;5,167;0.701
12045;Berlin;Berlin;3,308;0.586
12047;Berlin;Berlin;3,756;0.502
12049;Berlin;Berlin;5,550;0.877
12051;Berlin;Berlin;12,734;1.966
12053;Berlin;Berlin;7,389;0.957
12055;Berlin;Berlin;2,869;0.504
12057;Berlin;Berlin;23,785;3.665
12059;Berlin;Berlin;8,496;1.115
12099;Berlin;Berlin;23,429;3.826
12101;Berlin;Berlin;21,628;5.4
12103;Berlin;Berlin;18,752;2.828
12105;Berlin;Berlin;14,331;2.384
12107;Berlin;Berlin;29,149;5.2
12109;Berlin;Berlin;16,506;2.825
12157;Berlin;Berlin;12,833;2.452
12159;Berlin;Berlin;8,325;1.116
12161;Berlin;Berlin;8,310;1.046
12163;Berlin;Berlin;11,645;1.535
12165;Berlin;Berlin;4,443;0.752
12167;Berlin;Berlin;10,060;1.703
12169;Berlin;Berlin;11,745;2.134
12203;Berlin;Berlin;15,469;2.718
12205;Berlin;Berlin;19,949;3.412
12207;Berlin;Berlin;25,452;5.5
12209;Berlin;Berlin;20,000;3.235
12247;Berlin;Berlin;21,139;3.452
12249;Berlin;Berlin;22,879;3.792
12277;Berlin;Berlin;46,693;7.6
12279;Berlin;Berlin;9,959;1.625
12305;Berlin;Berlin;21,902;3.497
12307;Berlin;Berlin;21,426;4.167
12309;Berlin;Berlin;11,152;2.932
12347;Berlin;Berlin;22,219;3.751
12349;Berlin;Berlin;32,829;6.7
12351;Berlin;Berlin;21,716;3.552
12353;Berlin;Berlin;19,509;3.071
12355;Berlin;Berlin;37,697;7.2
12357;Berlin;Berlin;30,033;4.61
12359;Berlin;Berlin;23,232;4.185
12435;Berlin;Berlin;14,941;3.818
12437;Berlin;Berlin;25,815;6.6
12439;Berlin;Berlin;18,183;3.36
12459;Berlin;Berlin;30,547;8.7
12487;Berlin;Berlin;44,895;7.6
12489;Berlin;Berlin;28,031;4.942
12521;Berlin;Berlin;—;—
12524;Berlin;Berlin;37,865;7.8
12526;Berlin;Berlin;28,560;6.9
12527;Berlin;Berlin;18,878;28.8
12529;Berlin;Berlin;8,006;9.8
12555;Berlin;Berlin;32,735;8.2
12557;Berlin;Berlin;31,194;9.3
12559;Berlin;Berlin;21,970;35.5
12587;Berlin;Berlin;20,913;16.6
12589;Berlin;Berlin;18,860;20.1
12619;Berlin;Berlin;15,458;2.436
12621;Berlin;Berlin;41,104;8.7
12623;Berlin;Berlin;57,275;13.1
12627;Berlin;Berlin;14,656;3.794
12629;Berlin;Berlin;8,494;1.557
12679;Berlin;Berlin;10,893;2.225
12681;Berlin;Berlin;50,090;8.6
12683;Berlin;Berlin;56,372;12.5
12685;Berlin;Berlin;22,389;3.722
12687;Berlin;Berlin;9,988;1.879
12689;Berlin;Berlin;12,262;2.784
13047;Reinickendorf (locality);Berlin;—;—
13051;Berlin;Berlin;13,800;5.8
13053;Berlin;Berlin;41,928;7
13055;Berlin;Berlin;22,690;2.972
13057;Berlin;Berlin;12,078;4.946
13059;Berlin;Berlin;14,305;5.7
13086;Berlin;Berlin;20,410;3.288
13088;Berlin;Berlin;34,737;7.7
13089;Berlin;Berlin;23,671;3.967
13125;Berlin;Berlin;44,510;26.1
13127;Berlin;Berlin;39,352;12.2
13129;Berlin;Berlin;22,772;7.4
13156;Berlin;Berlin;37,154;6.5
13158;Berlin;Berlin;29,249;6.5
13159;Berlin;Berlin;15,222;13.9
13187;Berlin;Berlin;20,092;3.027
13189;Berlin;Berlin;15,844;2.426
13347;Berlin;Berlin;10,649;1.603
13349;Berlin;Berlin;7,677;1.619
13351;Berlin;Berlin;12,339;3.075
13353;Berlin;Berlin;19,183;2.679
13355;Berlin;Berlin;13,119;1.979
13357;Berlin;Berlin;14,477;1.941
13359;Berlin;Berlin;11,484;1.759
13403;Berlin;Berlin;21,620;3.733
13405;Berlin;Berlin;27,938;7.2
13407;Berlin;Berlin;28,400;4.434
13409;Berlin;Berlin;13,777;2.358
13435;Berlin;Berlin;11,830;2.27
13437;Berlin;Berlin;23,371;4.144
13439;Berlin;Berlin;11,834;2.064
13465;Berlin;Berlin;6,554;8
13467;Berlin;Berlin;13,751;5.9
13469;Berlin;Berlin;18,011;8
13503;Berlin;Berlin;20,756;16.8
13505;Berlin;Berlin;3,620;10.3
13507;Berlin;Berlin;26,645;8.8
13509;Berlin;Berlin;21,573;4.519
13581;Berlin;Berlin;25,775;4.172
13583;Berlin;Berlin;10,570;2.29
13585;Berlin;Berlin;14,861;2.831
13587;Berlin;Berlin;17,862;16.8
13589;Berlin;Berlin;15,489;7
13591;Berlin;Berlin;29,112;8.6
13593;Berlin;Berlin;20,594;5.8
13595;Berlin;Berlin;16,161;5.3
13597;Berlin;Berlin;20,837;4.105
13599;Berlin;Berlin;29,724;7.9
13627;Berlin;Berlin;22,640;4.469
13629;Berlin;Berlin;22,419;6.8
14050;Berlin;Berlin;13,473;3.35
14052;Berlin;Berlin;10,278;2.052
14053;Berlin;Berlin;7,127;2.753
14055;Berlin;Berlin;21,822;7.4
14057;Berlin;Berlin;10,494;1.444
14059;Berlin;Berlin;12,504;2.397
14089;Berlin;Berlin;23,604;24.1
14109;Berlin;Berlin;15,413;25.1
14129;Berlin;Berlin;8,782;11
14131;Berlin;Berlin;—;—
14163;Berlin;Berlin;17,951;6.7
14165;Berlin;Berlin;16,496;3.556
14167;Berlin;Berlin;30,500;5.6
14169;Berlin;Berlin;12,269;2.909
14193;Berlin;Berlin;28,038;32.3
14195;Berlin;Berlin;32,618;7.8
14197;Berlin;Berlin;8,761;1.365
14199;Berlin;Berlin;16,156;2.644
14532;Rudow;Berlin;40,638;77.5
15366;Neuenhagen bei Berlin;Brandenburg;31,235;46.5
15562;Berlin;Berlin;10,365;37.4
